Pourcentage erreur;Voisin;Dimension
25.0;4;('Tendance feuillet', 'Flexibilite')
21.71;5;('Tendance feuillet', 'Flexibilite')
20.72;6;('Tendance feuillet', 'Flexibilite')
21.05;7;('Tendance feuillet', 'Flexibilite')
22.37;8;('Tendance feuillet', 'Flexibilite')
22.7;9;('Tendance feuillet', 'Flexibilite')
22.7;10;('Tendance feuillet', 'Flexibilite')
23.03;11;('Tendance feuillet', 'Flexibilite')
22.04;12;('Tendance feuillet', 'Flexibilite')
22.7;13;('Tendance feuillet', 'Flexibilite')
22.37;14;('Tendance feuillet', 'Flexibilite')
22.37;15;('Tendance feuillet', 'Flexibilite')
22.04;16;('Tendance feuillet', 'Flexibilite')
22.04;17;('Tendance feuillet', 'Flexibilite')
21.05;18;('Tendance feuillet', 'Flexibilite')
22.04;19;('Tendance feuillet', 'Flexibilite')
28.29;1;('Tendance feuillet', 'Hydropathie')
26.32;2;('Tendance feuillet', 'Hydropathie')
27.96;3;('Tendance feuillet', 'Hydropathie')
24.67;4;('Tendance feuillet', 'Hydropathie')
24.34;5;('Tendance feuillet', 'Hydropathie')
24.67;6;('Tendance feuillet', 'Hydropathie')
24.67;7;('Tendance feuillet', 'Hydropathie')
24.67;8;('Tendance feuillet', 'Hydropathie')
25.33;9;('Tendance feuillet', 'Hydropathie')
23.68;10;('Tendance feuillet', 'Hydropathie')
25.66;11;('Tendance feuillet', 'Hydropathie')
23.68;12;('Tendance feuillet', 'Hydropathie')
25.0;13;('Tendance feuillet', 'Hydropathie')
24.01;14;('Tendance feuillet', 'Hydropathie')
24.67;15;('Tendance feuillet', 'Hydropathie')
24.67;16;('Tendance feuillet', 'Hydropathie')
24.67;17;('Tendance feuillet', 'Hydropathie')
23.68;18;('Tendance feuillet', 'Hydropathie')
23.36;19;('Tendance feuillet', 'Hydropathie')
27.63;1;('Tendance feuillet', 'Pi')
27.96;2;('Tendance feuillet', 'Pi')
27.3;3;('Tendance feuillet', 'Pi')
27.63;4;('Tendance feuillet', 'Pi')
27.3;5;('Tendance feuillet', 'Pi')
26.64;6;('Tendance feuillet', 'Pi')
27.63;7;('Tendance feuillet', 'Pi')
26.97;8;('Tendance feuillet', 'Pi')
27.63;9;('Tendance feuillet', 'Pi')
24.01;10;('Tendance feuillet', 'Pi')
24.34;11;('Tendance feuillet', 'Pi')
23.68;12;('Tendance feuillet', 'Pi')
23.68;13;('Tendance feuillet', 'Pi')
23.36;14;('Tendance feuillet', 'Pi')
23.03;15;('Tendance feuillet', 'Pi')
24.34;16;('Tendance feuillet', 'Pi')
22.7;17;('Tendance feuillet', 'Pi')
23.68;18;('Tendance feuillet', 'Pi')
23.36;19;('Tendance feuillet', 'Pi')
30.92;1;('Flexibilite', 'Hydropathie')
33.22;2;('Flexibilite', 'Hydropathie')
36.18;3;('Flexibilite', 'Hydropathie')
32.24;4;('Flexibilite', 'Hydropathie')
33.22;5;('Flexibilite', 'Hydropathie')
34.21;6;('Flexibilite', 'Hydropathie')
31.58;7;('Flexibilite', 'Hydropathie')
30.59;8;('Flexibilite', 'Hydropathie')
30.26;9;('Flexibilite', 'Hydropathie')
29.93;10;('Flexibilite', 'Hydropathie')
27.63;11;('Flexibilite', 'Hydropathie')
28.62;12;('Flexibilite', 'Hydropathie')
27.96;13;('Flexibilite', 'Hydropathie')
28.29;14;('Flexibilite', 'Hydropathie')
25.99;15;('Flexibilite', 'Hydropathie')
26.64;16;('Flexibilite', 'Hydropathie')
25.33;17;('Flexibilite', 'Hydropathie')
25.33;18;('Flexibilite', 'Hydropathie')
24.34;19;('Flexibilite', 'Hydropathie')
32.89;1;('Flexibilite', 'Pi')
35.53;2;('Flexibilite', 'Pi')
32.89;3;('Flexibilite', 'Pi')
34.87;4;('Flexibilite', 'Pi')
